,road_segment_id,road_segment_length,ST_NAME,speed_category,funclass_name,geometry,direction,ST_TYPE,ST_PRE,From,To,To_2,To_3,To_4
7281,1238733148,0.034175405,Meadow Oak,30,Local,"MULTILINESTRING ((2393220.752714904 7130330.320987786, 2393401.1088109305 7130336.344751833))",E,Dr,,Mulkey,,,,
7282,1238919841,0.047845567,Locust,40,Arterial,"MULTILINESTRING ((2386776.096716743 7142613.339694342, 2386781.9489519186 7142868.11853472))",N,St,N,,,,,
7283,1238919842,0.008699194,Locust,40,Arterial,"MULTILINESTRING ((2386781.9489519186 7142868.11853472, 2386781.3328719605 7142915.41242635))",N,St,N,Beall,,,,
7284,1238919849,0.019883872,Highland Park,30,Local,"MULTILINESTRING ((2380413.9803639282 7122377.017236948, 2380419.864076612 7122395.285444687, 2380431.9579692767 7122406.356161007, 2380450.2620439203 7122410.229392806, 2380468.659404903 7122406.826720056, 2380481.033156765 7122396.0697100395, 2380484.3248459687 7122377.919139265))",E,Cir,,Highland Park,,,,
7285,1238919850,0.013670162,Highland Park,30,Local,"MULTILINESTRING ((2380469.4057299583 7122348.619401307, 2380451.101622207 7122344.746158724, 2380432.7042278433 7122348.1488414025, 2380420.3304743646 7122358.905869745, 2380413.9803639282 7122377.017236948))",NW,Cir,,Highland Park,,,,
7286,1238919851,0.00621371,Highland Park,30,Local,"MULTILINESTRING ((2380469.4057299583 7122348.619401307, 2380481.499623777 7122359.690135988, 2380484.3248459687 7122377.919139265))",NE,Cir,,Highland Park,,,,
7287,1238923991,0.021126614,Guadalupe,30,Local,"MULTILINESTRING ((2391219.852818009 7120628.94980773, 2391198.490319941 7120625.030208266, 2391177.0321070952 7120628.386498667, 2391158.4889624524 7120642.696849474, 2391155.238931794 7120657.208368714, 2391158.1061401144 7120671.8003528435, 2391170.1970499605 7120682.875099099))",NW,Pl,,Guadalupe,,,,
7288,1238923992,0.008699194,Guadalupe,30,Local,"MULTILINESTRING ((2391219.852818009 7120628.94980773, 2391222.576419741 7120654.455610822, 2391213.1612653346 7120672.524585399))",N,Pl,,Guadalupe,,,,
7289,1238923993,0.008699194,Guadalupe,30,Local,"MULTILINESTRING ((2391213.1612653346 7120672.524585399, 2391200.783220246 7120683.277450383, 2391185.4422792415 7120686.714209034, 2391170.1970499605 7120682.875099099))",W,Pl,,Guadalupe,,,,
7290,1238976865,0.028583066,Fort Worth,45,Arterial,"MULTILINESTRING ((2373980.7768061855 7099594.440168532, 2374052.534008888 7099729.969725981))",NE,Dr,,,,,,
